State,LiteracyRate,ForestCover,RenewableEnergy,PopulationDensity,Rainfall
Maharashtra,82.3,16.5,10500,365,2200
Kerala,96.2,52.3,3200,860,3000
Bihar,70.9,7.2,450,1102,1200
Rajasthan,66.1,4.8,12800,200,550
Assam,85.9,36.1,180,398,2300
Odisha,77.3,33.5,900,270,1450
Karnataka,77.2,20.2,8600,319,1150
Gujarat,79.3,7.6,15400,308,800
Tamil Nadu,82.9,20.3,15600,555,1000
Punjab,76.7,3.6,1600,551,650
Madhya Pradesh,70.6,25.1,5800,236,1100
Uttar Pradesh,69.7,9.2,3900,829,1000
West Bengal,77.1,18.9,1100,1028,1750
